uWellPosition,uSample,Plate,Replicate,Pig,PMAxxConcentration,LHKC,LHKCorder,uCT,uCTMean,uCtSD,uQuantity,uQuantityMean,uQuantitySD,pWellPosition,pSample,pCT,pCTMean,pCtSD,pQuantity,pQuantityMean,pQuantitySD,DeltaCT,TotalBacteria,MeanTotalBacteria,ViableBacteria,MeanBiableBacteria,PercentLive,MeanPercentLive,DeltaBacteria
E12,P2-K-10,2,2,P2,10,HeatKilled,2,16.453,16.52,0.294,"3,881.14","3,650.36",954.701,E19,P2-K-10p,20.984,21.221,0.205,61.113,49.2,24.486,4.701,23286842.01,21902182.53,366677.957,295200.507,1.574614355,1.347813199,22920164.05
E13,P2-K-10,2,3,P2,10,HeatKilled,2,16.842,16.52,0.294,"2,718.04","3,650.36",954.701,E20,P2-K-10p,21.339,21.221,0.205,44.18,49.2,24.486,4.701,16308209.99,21902182.53,265081.4143,295200.507,1.625447639,1.347813199,16043128.58
F8,P2-C-50,2,1,P2,50,CHG,3,18.561,18.788,0.324,562.596,457.165,126.873,F15,P2-C-50p,22.094,22.208,0.489,22.107,19.917,134.21,3.42,3375574.301,2742992.337,132644.427,119504.8136,3.929536583,4.356731588,3242929.874
F9,P2-C-50,2,2,P2,50,CHG,3,18.643,18.788,0.324,521.971,457.165,126.873,F16,P2-C-50p,22.744,22.208,0.489,12.194,19.917,134.21,3.42,3131828.092,2742992.337,73161.0416,119504.8136,2.336049089,4.356731588,3058667.05
F10,P2-C-50,2,3,P2,50,CHG,3,19.159,18.788,0.324,325.368,457.165,126.873,F17,P2-C-50p,22.787,22.208,0.489,11.727,19.917,134.21,3.42,1952207.241,2742992.337,70361.84534,119504.8136,3.604220077,4.356731588,1881845.396
F12,P2-C-10,2,1,P2,10,CHG,3,16.304,16.406,0.145,"4,449.98","4,050.52",539.557,F18,P2-C-10p,18.695,18.816,0.115,497.956,445.44,47.428,2.41,26699856.79,24303118.25,2987733.242,2672640.948,11.19007216,10.99711124,23712123.55
F13,P2-C-10,2,2,P2,10,CHG,3,16.509,16.406,0.145,"3,686.93","4,050.52",539.557,F19,P2-C-10p,18.923,18.816,0.115,404.076,445.44,47.428,2.41,22121563.93,24303118.25,2424458.216,2672640.948,10.95970531,10.99711124,19697105.71
,,2,3,P2,10,CHG,3,,,,,,,F20,P2-C-10p,18.831,18.816,0.115,439.253,445.44,47.428,,,,2635518.627,2672640.948,,,
G8,P2-L-25,2,1,P2,25,Live,0,17.965,17.923,0.047,971.478,"1,009.82",44.113,G15,P2-L-25p,19.008,19.669,0.576,373.713,203.873,128.964,1.747,5828869.837,6058906.059,2242280.427,1223239.447,38.46852803,20.18911392,3586589.41
G9,P2-L-25,2,2,P2,25,Live,0,17.932,17.923,0.047,"1,001.54","1,009.82",44.113,G16,P2-L-25p,20.061,19.669,0.576,142.416,203.873,128.964,1.747,6009257.765,6058906.059,854494.225,1223239.447,14.21963008,20.18911392,5154763.54
G10,P2-L-25,2,3,P2,25,Live,0,17.872,17.923,0.047,"1,058.34","1,009.82",44.113,G17,P2-L-25p,19.939,19.669,0.576,159.215,203.873,128.964,1.747,6350065.794,6058906.059,955291.9843,1223239.447,15.04381238,20.18911392,5394773.81
