CompoundName,CleanName,CompoundID,LipidABV,Formula,Mass,RT,LargerLipidGroup.ABV,LargerLipidGroup,LIPIDClass_CommonName,LipidClass_LIPID_MAPS,LIPID_MAPS
Cer_ADS d16:0_14:0,Cer ADS d16:0 14:0,Cer_ADS.d16:0_14:0__Np,Cer_ADS,C30 H61 N O4,499.46,6.33,Sphingolipids ,SP,Ceramides,Ceramide α-hydroxy fatty acid-dihydrosphingosine,
Cer_ADS d16:0_14:0,Cer ADS d16:0 14:0,Cer_ADS.d16:0_14:0__Np,Cer_ADS,C30 H61 N O4,499.46,6.34,Sphingolipids ,SP,Ceramides,Ceramide α-hydroxy fatty acid-dihydrosphingosine,
Cer_ADS d16:0_16:0,Cer ADS d16:0 16:0,Cer_ADS.d16:0_16:0__Np,Cer_ADS,C32 H65 N O4,527.4915,7.33,Sphingolipids ,SP,Ceramides,Ceramide α-hydroxy fatty acid-dihydrosphingosine,
Cer_ADS d16:0_16:0,Cer ADS d16:0 16:0,Cer_ADS.d16:0_16:0__Np,Cer_ADS,C32 H65 N O4,527.4915,7.34,Sphingolipids ,SP,Ceramides,Ceramide α-hydroxy fatty acid-dihydrosphingosine,
Cer_ADS d16:0_16:0,Cer ADS d16:0 16:0,Cer_ADS.d16:0_16:0__Np,Cer_ADS,C32 H65 N O4,527.4915,7.33,Sphingolipids ,SP,Ceramides,Ceramide α-hydroxy fatty acid-dihydrosphingosine,
Cer_ADS d16:0_16:0,Cer ADS d16:0 16:0,Cer_ADS.d16:0_16:0__Np,Cer_ADS,C32 H65 N O4,527.4915,7.34,Sphingolipids ,SP,Ceramides,Ceramide α-hydroxy fatty acid-dihydrosphingosine,
Cer_ADS d16:0_24:0,Cer ADS d16:0 24:0,Cer_ADS.d16:0_24:0__Np,Cer_ADS,C40 H81 N O4,639.6159,10.04,Sphingolipids ,SP,Ceramides,Ceramide α-hydroxy fatty acid-dihydrosphingosine,
Cer_ADS d16:0_24:0,Cer ADS d16:0 24:0,Cer_ADS.d16:0_24:0__Np,Cer_ADS,C40 H81 N O4,639.6167,10.99,Sphingolipids ,SP,Ceramides,Ceramide α-hydroxy fatty acid-dihydrosphingosine,
Cer_ADS d16:0_24:0_1,Cer ADS d16:0 24:0,Cer_ADS.d16:0_24:0_1__Np,Cer_ADS,C40 H81 N O4,639.6167,10.99,Sphingolipids ,SP,Ceramides,Ceramide α-hydroxy fatty acid-dihydrosphingosine,
Cer_ADS d17:0_14:0,Cer ADS d17:0 14:0,Cer_ADS.d17:0_14:0__Np,Cer_ADS,C31 H63 N O4,513.4759,6.83,Sphingolipids ,SP,Ceramides,Ceramide α-hydroxy fatty acid-dihydrosphingosine,
Cer_ADS d17:0_16:0,Cer ADS d17:0 16:0,Cer_ADS.d17:0_16:0__Np,Cer_ADS,C33 H67 N O4,541.5074,7.87,Sphingolipids ,SP,Ceramides,Ceramide α-hydroxy fatty acid-dihydrosphingosine,
Cer_ADS d17:0_16:0,Cer ADS d17:0 16:0,Cer_ADS.d17:0_16:0__Np,Cer_ADS,C33 H67 N O4,541.5072,7.85,Sphingolipids ,SP,Ceramides,Ceramide α-hydroxy fatty acid-dihydrosphingosine,
Cer_ADS d17:0_16:0,Cer ADS d17:0 16:0,Cer_ADS.d17:0_16:0__Np,Cer_ADS,C33 H67 N O4,541.5074,7.87,Sphingolipids ,SP,Ceramides,Ceramide α-hydroxy fatty acid-dihydrosphingosine,
