Sample,Replicate,Pig ,Treatment,Time,Timepoint,TxTime,CFUmedia,Count ,Dilution ,CFU ,LogCFU,Notes
P1_C12.2,C12.2,P1,Chloraprep,12 hr,12,Chloraprep 12 hr,TSA,0,1.00E+00,0.00E+00,0,
P1_C12.3,C12.3,P1,Chloraprep,12 hr,12,Chloraprep 12 hr,TSA,0,1.00E+00,0.00E+00,0,
P1_F12.1,F12.1,P1,Full,12 hr,12,Full 12 hr,TSA,0,1.00E+00,0.00E+00,0,
P1_F12.2,F12.2,P1,Full,12 hr,12,Full 12 hr,TSA,16,1.00E+00,1.24E+02,2.096910013,
P1_F12.3,F12.3,P1,Full,12 hr,12,Full 12 hr,TSA,9,1.00E+00,6.98E+01,1.849726444,
P1_W24.1,W24.1,P1,Water,24 hr,24,Water 24 hr,TSA,16,1.00E-05,1.24E+07,7.09342172,
P1_W24.2,W24.2,P1,Water,24 hr,24,Water 24 hr,TSA,11,1.00E-06,8.53E+07,7.930694393,
P1_W24.3,W24.3,P1,Water,24 hr,24,Water 24 hr,TSA,20,1.00E-06,1.55E+08,8.190331701,
P1_C24.1,C24.1,P1,Chloraprep,24 hr,24,Chloraprep 24 hr,TSA,12,1.00E-03,9.30E+04,4.968487618,
P1_C24.2,C24.2,P1,Chloraprep,24 hr,24,Chloraprep 24 hr,TSA,37,1.00E-02,2.87E+04,4.457518572,
P1_C24.3,C24.3,P1,Chloraprep,24 hr,24,Chloraprep 24 hr,TSA,15,1.00E-02,1.16E+04,4.065430319,
P1_F24.1,F24.1,P1,Full,24 hr,24,Full 24 hr,TSA,8,1.00E+00,6.20E+01,1.799340549,
P1_F24.2,F24.2,P1,Full,24 hr,24,Full 24 hr,TSA,19,1.00E+00,1.47E+02,2.170994702,
P1_F24.3,F24.3,P1,Full,24 hr,24,Full 24 hr,TSA,21,1.00E+00,1.63E+02,2.214181309,
P1_W48.1,W48.1,P1,Water,48 hr,48,Water 48 hr,TSA,41,1.00E-06,3.18E+08,8.502085561,
P1_W48.2,W48.2,P1,Water,48 hr,48,Water 48 hr,TSA,20,1.00E-06,1.55E+08,8.190331701,
P1_W48.3,W48.3,P1,Water,48 hr,48,Water 48 hr,TSA,30,1.00E-07,2.33E+09,9.366422957,
P1_C48.1,C48.1,P1,Chloraprep,48 hr,48,Chloraprep 48 hr,TSA,27,1.00E-06,2.09E+08,8.320665469,
P1_C48.2,C48.2,P1,Chloraprep,48 hr,48,Chloraprep 48 hr,TSA,16,1.00E-06,1.24E+08,8.093421689,
P1_C48.3,C48.3,P1,Chloraprep,48 hr,48,Chloraprep 48 hr,TSA,16,1.00E-06,1.24E+08,8.093421689,
P1_F48.1,F48.1,P1,Full,48 hr,48,Full 48 hr,TSA,37,1.00E-05,2.87E+07,7.457503442,
P1_F48.2,F48.2,P1,Full,48 hr,48,Full 48 hr,TSA,30,1.00E-06,2.33E+08,8.366422959,
P1_F48.3,F48.3,P1,Full,48 hr,48,Full 48 hr,TSA,33,1.00E-03,2.56E+05,5.407817341,
