CompoundName,Formula,Mass,RT,LipidClass,LipidABV
Cer_AP t39:0,C39 H79 N O5,641.5958,9.82,,Cer_AP
Cer_AP t39:1,C39 H77 N O5,639.5798,8.87,,Cer_AP
Cer_AP t39:1,C39 H77 N O5,639.58,8.84,,Cer_AP
Cer_AP t40:0,C40 H81 N O5,655.6113,10.28,,Cer_AP
Cer_AP t40:0,C40 H81 N O5,655.6107,9.34,,Cer_AP
Cer_AP t40:1,C40 H79 N O5,653.5951,9.29,,Cer_AP
Cer_AP t40:1,C40 H79 N O5,653.5954,9.76,,Cer_AP
Cer_AP t40:1,C40 H79 N O5,653.5952,9.28,,Cer_AP
Cer_AP t42:0,C42 H85 N O5,683.6427,11.08,,Cer_AP
Cer_AP t42:0,C42 H85 N O5,683.642,10.22,,Cer_AP
Cer_AP t42:1,C42 H83 N O5,681.6268,10.18,,Cer_AP
Cer_AP t43:0,C43 H87 N O5,697.6583,11.44,,Cer_AP
Cer_AP t44:1,C44 H87 N O5,709.6581,10.99,,Cer_AP
Cer_AP t44:1,C44 H87 N O5,709.658,10.96,,Cer_AP
Cer_AP t45:1,C45 H89 N O5,723.674,11.38,,Cer_AP
Cer_AP t45:1,C45 H89 N O5,723.673,11.68,,Cer_AP
Cer_AP t46:0,C46 H93 N O5,739.7054,12.52,,Cer_AP
Cer_AP t46:1,C46 H91 N O5,737.6893,11.74,,Cer_AP
Cer_AP t46:2,C46 H89 N O5,735.6731,12,,Cer_AP
Cer_AP t47:0,C47 H95 N O5,753.7207,12.83,,Cer_AP
Cer_AP t47:0,C47 H95 N O5,753.7206,12.11,,Cer_AP
Cer_AP t48:0,C48 H97 N O5,767.7363,13.12,,Cer_AP
Cer_AP t48:0,C48 H97 N O5,767.7354,12.4,,Cer_AP
Cer_AP t48:0,C48 H97 N O5,767.7364,13.11,,Cer_AP
Cer_AP t48:1,C48 H95 N O5,765.7207,12.41,,Cer_AP
Cer_AP t50:0,C50 H101 N O5,795.767,13.68,,Cer_AP
Cer_AP t50:0,C50 H101 N O5,795.767,13.68,,Cer_AP
Cer_AP t51:0,C51 H103 N O5,809.7833,11.32,,Cer_AP
Cer_AP t52:1,C52 H103 N O5,821.7833,13.57,,Cer_AP
Cer_AP t52:2,C52 H101 N O5,819.7679,10.28,,Cer_AP
Cer_AS d14:1_14:0,C28 H55 N O4,469.413,5.08,,Cer_AS
Cer_AS d16:1_13:0,C29 H57 N O4,483.4287,5.52,,Cer_AS
Cer_AS d16:1_13:0,C29 H57 N O4,483.4288,5.5,,Cer_AS
Cer_AS d16:1_14:0,C30 H59 N O4,497.4444,5.99,,Cer_AS
Cer_AS d16:1_14:0,C30 H59 N O4,497.4444,5.99,,Cer_AS
Cer_AS d16:1_14:0,C30 H59 N O4,497.4444,5.96,,Cer_AS
Cer_AS d16:1_16:0,C32 H63 N O4,525.4763,6.9,,Cer_AS
Cer_AS d16:1_16:0,C32 H63 N O4,525.4762,6.88,,Cer_AS
Cer_AS d16:1_17:0,C33 H65 N O4,539.4915,6.85,,Cer_AS
Cer_AS d16:1_20:0,C36 H71 N O4,581.5382,7.78,,Cer_AS
Cer_AS d16:1_24:0,C40 H79 N O4,637.605,9.21,,Cer_AS
Cer_AS d17:1_14:0,C31 H61 N O4,511.46,6.45,,Cer_AS
Cer_AS d17:1_16:0,C33 H65 N O4,539.4918,7.42,,Cer_AS
Cer_AS d17:1_16:0,C33 H65 N O4,539.4918,7.41,,Cer_AS
Cer_AS d17:1_16:0,C33 H65 N O4,539.4913,6.31,,Cer_AS
Cer_AS d17:1_32:1,C49 H95 N O4,761.7258,10.38,,Cer_AS
Cer_AS d17:1_32:1,C49 H95 N O4,761.7259,10.37,,Cer_AS
Cer_AS d18:1_16:0,C34 H67 N O4,553.5074,7.92,,Cer_AS
Cer_AS d18:1_16:0,C34 H67 N O4,553.5073,7.91,,Cer_AS
Cer_AS d18:2_20:0,C38 H73 N O4,607.5531,8.99,,Cer_AS
Cer_AS d19:1_16:0,C35 H69 N O4,567.5225,8.23,,Cer_AS
Cer_AS d19:1_16:0,C35 H69 N O4,567.5226,8.22,,Cer_AS
Cer_AS d20:1_23:0,C43 H85 N O4,679.6476,11.79,,Cer_AS
Cer_AS d28:1_20:0,C48 H95 N O4,749.7257,13.36,,Cer_AS
Cer_AS d29:1_15:0,C44 H87 N O4,693.6632,10.92,,Cer_AS
Cer_AS d31:1,C31 H61 N O4,511.4601,6.43,,Cer_AS
Cer_AS d32:1,C32 H63 N O4,525.4763,6.9,,Cer_AS
Cer_AS d32:2,C32 H61 N O4,523.4598,6.13,,Cer_AS
Cer_AS d34:1,C34 H67 N O4,553.5069,6.83,,Cer_AS
Cer_AS d34:1,C34 H67 N O4,553.5069,6.37,,Cer_AS
Cer_AS d34:1,C34 H67 N O4,553.507,6.82,,Cer_AS
Cer_AS d34:2,C34 H65 N O4,551.491,7.04,,Cer_AS
Cer_AS d34:2,C34 H65 N O4,551.4911,7.02,,Cer_AS
Cer_AS d35:1,C35 H69 N O4,567.5225,8.44,,Cer_AS
Cer_AS d35:1,C35 H69 N O4,567.5224,7.32,,Cer_AS
Cer_AS d35:1,C35 H69 N O4,567.5225,7.31,,Cer_AS
Cer_AS d36:1,C36 H71 N O4,581.5382,8.88,,Cer_AS
Cer_AS d36:1,C36 H71 N O4,581.5382,7.79,,Cer_AS
Cer_AS d36:1,C36 H71 N O4,581.5382,8.86,,Cer_AS
Cer_AS d36:1,C36 H71 N O4,581.5381,7.33,,Cer_AS
