CompoundID,CompoundName,Formula,Phase,Mass,RT,P3_ChloraPrep_EndPoint.1,P3_ChloraPrep_EndPoint.2,P3_ChloraPrep_EndPoint.3,P3_ChloraPrep_Baseline.1,P3_ChloraPrep_Baseline.2,P3_ChloraPrep_Baseline.3,P3_ChloraPrep_PostIntervention.1,P3_ChloraPrep_PostIntervention.2,P3_ChloraPrep_PostIntervention.3,P3_FullSurgicalPrep_EndPoint.1,P3_FullSurgicalPrep_EndPoint.2,P3_FullSurgicalPrep_EndPoint.3,P3_FullSurgicalPrep_Baseline.1,P3_FullSurgicalPrep_Baseline.2,P3_FullSurgicalPrep_Baseline.3,P3_FullSurgicalPrep_PostIntervention.1,P3_FullSurgicalPrep_PostIntervention.2,P3_FullSurgicalPrep_PostIntervention.3,P3_Water_EndPoint.1,P3_Water_EndPoint.2,P3_Water_EndPoint.3,P3_Water_Baseline.1,P3_Water_Baseline.2,P3_Water_Baseline.3,P3_Water_PostIntervention.1,P3_Water_PostIntervention.2,P3_Water_PostIntervention.3
SM.d18:1_24:1__Np,SM d18:1_24:1,C47 H93 N2 O6 P,Negative Phase,812.6769,10.05,647402.5917,645260.911,1297672.761,1825527.476,1436568.447,2008549.639,1529528.065,1121287.246,2479264.048,1265704.847,1623038.793,1341757.231,2219516.567,1546686.083,2359815.299,1875792.14,1525190.98,1847685.586,1164459.424,1300347.947,1039991.496,1777409.442,1915299.997,1654023.722,1582447.245,1233588.464,1655675.848
SM.d32:1__Np,SM d32:1,C37 H75 N2 O6 P,Negative Phase,674.5361,6.35,133827.106,191543.1667,312310.4883,632947.0182,320815.6068,437024.2498,424077.6039,275877.7646,696724.2938,386917.9691,465994.5789,334716.1698,526396.941,351864.6768,449572.2693,478294.2985,314896.3716,379891.2805,168681.5964,265272.8796,251607.6065,340491.1427,439964.8082,385574.4212,267025.3101,203185.5466,328306.93
SM.d33:1__Np,SM d33:1,C38 H77 N2 O6 P,Negative Phase,688.5517,6.85,156821.1548,306846.9271,526595.785,757422.1814,318378.7111,446102.7197,487396.4863,389009.2639,884810.9913,420651.2083,531884.614,460734.4896,506588.6435,386380.7959,420155.8258,601133.969,347467.3143,360270.3836,52209.0414,334149.7391,313424.5079,492872.9753,622606.534,166993.8064,312685.5953,205983.3837,419600.6322
SM.d34:2__Np,SM d34:2,C39 H77 N2 O6 P,Negative Phase,700.5517,6.45,50104.91861,83697.96343,108143.5243,226547.4656,132627.3619,194316.9136,170434.3999,131515.207,218451.2635,100282.9002,148807.7724,132492.1603,187544.76,132441.8306,204887.2737,211270.9094,145152.7851,146649.0338,103208.8777,102778.7675,107548.3143,142737.8142,177610.9165,160127.7667,157528.7667,130302.6726,187910.3836
SM.d36:1__Np,SM d36:1,C41 H83 N2 O6 P,Negative Phase,730.5986,8.33,482401.431,538305.6263,1097360.557,1570776.712,920118.4385,1135994.932,992304.4286,754378.5822,1707617.768,1197510.73,1159046.919,787415.4986,1065285.267,808210.4656,1056044.12,1207466.889,712315.8846,830152.3619,894075.1799,776364.092,887574.0547,1099857.711,1253040.224,1071168.54,830991.4179,541899.4783,977428.7476
SM.d36:2__Np,SM d36:2,C41 H81 N2 O6 P,Negative Phase,728.5827,7.43,9449.841739,30487.52708,62521.88282,61922.45083,42626.0244,73544.55254,63091.3233,55819.19337,102772.5502,44377.40667,50615.59982,35408.0385,64112.50791,52128.21829,74430.46521,36528.77276,65586.65004,66644.86237,53552.98888,53830.35807,66439.84761,60475.13038,67388.61815,50853.51126,80196.55973,55138.07451,61466.05363
SM.d37:1__Np,SM d37:1,C42 H85 N2 O6 P,Negative Phase,744.6137,8.81,136883.6137,209538.4416,423602.8374,599147.9781,348674.5554,511767.9763,363221.1913,277252.726,493465.752,528301.0542,450754.1388,298469.9329,378384.2686,316067.9159,390409.1502,430320.587,125992.3019,375161.6221,128968.954,169242.1119,294424.1329,373819.6785,477913.7159,399921.4014,243439.8988,140189.232,350283.4841
SM.d38:1__Np,SM d38:1,C43 H87 N2 O6 P,Negative Phase,758.6299,9.27,206813.664,217440.7548,408794.0226,623657.1314,415026.3287,520725.1422,438836.0495,342621.0805,808346.4885,480257.3328,500068.9941,374258.3012,532049.8585,336673.9499,569869.4424,487104.8098,355360.9424,445827.3527,396503.1873,328859.1353,332749.0335,517214.4129,544573.8476,505452.1422,448068.3733,276346.1191,477364.6722
SM.d40:1__Np,SM d40:1,C45 H91 N2 O6 P,Negative Phase,786.6613,10.15,29379.65181,221615.3978,496522.367,734137.5395,535210.0981,831986.8743,585433.0323,454870.2484,1078566.633,588899.0889,679470.0453,472327.5247,760426.3835,536515.8218,949517.212,704884.7296,535078.0407,701957.6405,451349.3161,461491.1888,435925.5314,670815.7007,769640.9788,700030.7641,751430.5248,454980.5963,683949.9402
SM.d41:2__Np,SM d41:2,C46 H91 N2 O6 P,Negative Phase,798.6612,9.65,59798.0235,77673.48174,196518.2273,397613.2694,286553.1593,441212.6595,336165.3772,292224.2623,1021712.743,275432.3847,294003.5493,170737.7292,427674.2999,271662.7856,364022.3197,561508.6903,315338.1883,391634.7197,128544.972,213810.0547,171698.3859,341920.3596,464343.3634,335354.1637,164112.9188,106815.8181,254017.3224
